temperature,strain,genbank_id,disseminated,infected,total,group,strain_id
20,DS High 2018,18590237,6,18,40,1,3
20,DS High 2017,17290170,5,22,40,1,1
20,US  High 2018,18090052,12,30,40,1,4
20,US  High 2017,17330731,15,25,40,1,2
20,DS Low 2004,33040049,22,23,40,0,3
20,DS Low 2003,35030513,10,21,40,0,1
20,US  Low 2004,39040164,8,24,40,0,4
20,US  Low 2003,WN02 1986,17,41,80,0,2
24,DS High 2018,18590237,21,27,40,1,3
24,DS High 2017,17290170,23,27,40,1,1
24,US  High 2018,18090052,16,29,40,1,4
24,US  High 2017,17330731,18,25,40,1,2
24,DS Low 2004,33040049,7,27,40,0,3
24,DS Low 2003,35030513,12,26,40,0,1
24,US  Low 2004,39040164,18,28,40,0,4
24,US  Low 2003,WN02 1986,20,43,80,0,2
28,DS High 2018,18590237,18,32,40,1,3
28,DS High 2017,17290170,20,21,40,1,1
28,US  High 2018,18090052,31,35,40,1,4
28,US  High 2017,17330731,25,32,40,1,2
28,DS Low 2004,33040049,15,25,40,0,3
28,DS Low 2003,35030513,23,35,40,0,1
28,US  Low 2004,39040164,25,25,40,0,4
28,US  Low 2003,WN02 1986,29,60,80,0,2
15,US  Low 2003,WN02 1986,3,6,46,0,2
33,US  Low 2003,WN02 1986,20,35,48,0,2
15,US  High 2017,17330731,3,13,49,1,2
33,US  High 2017,17330731,37,42,46,1,2